"FAC","Hospital_Name","URL","Name","Title","Source"
"650","ELLIOT LAKE ST JOSEPH'S","https://sjghel.ca/about/governance-board/","Kelli-Ann Lemieux","President & CEO, Board Secretary-Treasurer","manual_entry_required"
"650","ELLIOT LAKE ST JOSEPH'S","https://sjghel.ca/about/governance-board/","Dr. Todd Spencer","Chief of Staff","manual_entry_required"
"650","ELLIOT LAKE ST JOSEPH'S","https://sjghel.ca/about/governance-board/","Dr Chris Prescott","Medical Staff President","manual_entry_required"
"650","ELLIOT LAKE ST JOSEPH'S","https://sjghel.ca/about/governance-board/","Leslie Sanders","Chief Nursing Executive","manual_entry_required"
"627","CHAPLEAU SER DE SANTÉ DE CHAPLEAU","https://www.sschs.ca/general/board.html","Natasha Comte","Co-Chief Executive Officer / Director of Finances and Corporate Services","manual_entry_required"
"627","CHAPLEAU SER DE SANTÉ DE CHAPLEAU","https://www.sschs.ca/general/board.html","Jamie Fiaschetti","Co-Chief Executive Officer / Director of Clinical Services","manual_entry_required"
"627","CHAPLEAU SER DE SANTÉ DE CHAPLEAU","https://www.sschs.ca/general/board.html","Dr. Kendra Saari","Chief of Medical Staff","manual_entry_required"
"966","SARNIA BLUEWATER HEALTH","https://www.bluewaterhealth.ca/executive-team","Paula Reaume-Zimmer","President & CEO","manual_entry_required"
"966","SARNIA BLUEWATER HEALTH","https://www.bluewaterhealth.ca/executive-team","Dr. Michel Haddad","Chief of Staff","manual_entry_required"
"966","SARNIA BLUEWATER HEALTH","https://www.bluewaterhealth.ca/executive-team","Bob DeRaad","Vice-President, Clinical Services","manual_entry_required"
"966","SARNIA BLUEWATER HEALTH","https://www.bluewaterhealth.ca/executive-team","Marlene Kerwin","Vice-President, Corporate Services and Chief Financial Officer","manual_entry_required"
"966","SARNIA BLUEWATER HEALTH","https://www.bluewaterhealth.ca/executive-team","Jane Mathews","Vice-President Clinical Support Services and Chief Nursing Executive","manual_entry_required"
"966","SARNIA BLUEWATER HEALTH","https://www.bluewaterhealth.ca/executive-team","Lisa Regan","Vice-President, Care Transitions","manual_entry_required"
"763","PEMBROKE REGIONAL","https://www.pemreghos.org/slt?m=1","Sabine Mersmann","President and CEO","manual_entry_required"
"763","PEMBROKE REGIONAL","https://www.pemreghos.org/slt?m=1","Dr. Declan Rowan","Chief of Staff","manual_entry_required"
"763","PEMBROKE REGIONAL","https://www.pemreghos.org/slt?m=1","Beth Brownlee","Vice President Clinical & Support Services and Chief Nursing Executive","manual_entry_required"
"763","PEMBROKE REGIONAL","https://www.pemreghos.org/slt?m=1","Brent McIntyre","Vice President Human Resources","manual_entry_required"
"763","PEMBROKE REGIONAL","https://www.pemreghos.org/slt?m=1","Scott Coombes","Vice President Finance and Corporate Services and Chief Financial Officer","manual_entry_required"
"974","NORTH BAY NORTH BAY REGIONAL HC","https://nbrhc.on.ca/about-nbrhc/senior-leadership-team/","Paul Heinrich","President & CEO","manual_entry_required"
"974","NORTH BAY NORTH BAY REGIONAL HC","https://nbrhc.on.ca/about-nbrhc/senior-leadership-team/","Lise St. Marseille","Vice President, Mental Health & Addictions","manual_entry_required"
"974","NORTH BAY NORTH BAY REGIONAL HC","https://nbrhc.on.ca/about-nbrhc/senior-leadership-team/","Joanne Laplante","Vice President, Clinical and Chief Nursing Executive","manual_entry_required"
"974","NORTH BAY NORTH BAY REGIONAL HC","https://nbrhc.on.ca/about-nbrhc/senior-leadership-team/","Ryan Jeffers","Vice President of Corporate Services & CFO","manual_entry_required"
"974","NORTH BAY NORTH BAY REGIONAL HC","https://nbrhc.on.ca/about-nbrhc/senior-leadership-team/","Dr. Scott Kerrigan","Chief of Staff","manual_entry_required"
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","https://www.ckha.on.ca/senior-team/","Adam Topp","President & CEO","manual_entry_required"
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","https://www.ckha.on.ca/senior-team/","Aaron Ryan","Vice President, Performance & Chief Financial Officer","manual_entry_required"
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","https://www.ckha.on.ca/senior-team/","Natalie Clark","Chief Nursing Executive","manual_entry_required"
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","https://www.ckha.on.ca/senior-team/","Caen Suni","Vice President, Clinical Programs & Operations","manual_entry_required"
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","https://www.ckha.on.ca/senior-team/","Dr. Zeke Milkovic","Chief of Staff","manual_entry_required"
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","https://www.ckha.on.ca/senior-team/","Justin Turkington","Chief Human Resources Officer","manual_entry_required"
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","https://www.ckha.on.ca/senior-team/","Fannie Vavoulis","Director, Communications & Patient Experience","manual_entry_required"
"981","CHATHAM CHATHAM-KENT HEALTH ALLIANC","https://www.ckha.on.ca/senior-team/","Christine Mitchell","CKHA Foundation, President & CEO","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Dr. Kevin Smith","President and CEO","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Andrew Boozary","Executive Director, Social Medicine and Population Health","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Michael Caesar","Chief Data and Analytics Officer","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Lucas Chartier","Vice President, Quality and Safety","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Anil Chopra","Vice President, Medical Affairs","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Darlene Dasent","Executive Vice President & Chief Financial Officer","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Doug Earle","CEO, West Park Healthcare Centre Foundation","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Marnie Escaf","Vice President, Clinical","manual_entry_required"
"947","TORONTO UNIVERSITY HEALTH NETWORK","https://www.uhn.ca/corporate/AboutUHN/Governance_Leadership/Pages/Our_Leaders.aspx","Thomas Forbes","Surgeon-in-Chief","manual_entry_required"
